TIME,Value
2011-Q1,2.6
2011-Q2,2.3
2011-Q3,1.8
2011-Q4,1.5
2012-Q1,2.0
2012-Q2,2.1
2012-Q3,1.8
2012-Q4,2.0
2013-Q1,1.9
2013-Q2,1.8
2013-Q3,2.1
2013-Q4,1.6
2014-Q1,1.8
2014-Q2,1.8
2014-Q3,1.8
2014-Q4,1.7
2015-Q1,1.7
2015-Q2,1.8
2015-Q3,1.7
2015-Q4,1.5
2016-Q1,1.4
2016-Q2,1.9
2016-Q3,1.7
2016-Q4,1.6
2017-Q1,1.5
2017-Q2,1.8
2017-Q3,1.8
2017-Q4,1.5
2018-Q1,1.5
2018-Q2,1.7
2018-Q3,1.6
